Sample;176Lu/177Hf;1s_error;176Hf/177Hf;1s_error.1;t(Ga);2s_error
300339_1_29;0,00440;0,00007;0,28312;0,00002;0,057;0,002
300339_1_30;0,00250;0,00010;0,28304;0,00002;0,048;0,002
300339_1_31;0,00190;0,00009;0,28303;0,00002;0,047;0,001
300339_1_32;0,00295;0,00010;0,28309;0,00002;0,047;0,001
300339_1_33;0,00312;0,00021;0,28300;0,00002;0,049;0,002
300339_1_34;0,00628;0,00030;0,28293;0,00009;0,048;0,001
300339_1_35;0,00270;0,00015;0,28307;0,00001;0,049;0,001
300339_1_36;0,00098;0,00006;0,28306;0,00002;0,047;0,002
300339_1_37;0,00114;0,00002;0,28309;0,00002;0,046;0,002
300339_1_38;0,00167;0,00002;0,28313;0,00001;0,045;0,001
300339_1_39;0,00148;0,00001;0,28306;0,00001;0,047;0,002
300339_1_40;0,00798;0,00007;0,28309;0,00003;0,059;0,002
300339_1_41;0,00334;0,00010;0,28312;0,00002;0,051;0,001
300339_1_42;0,00216;0,00006;0,28299;0,00001;0,046;0,002
300339_1_43;0,00183;0,00005;0,28304;0,00002;0,050;0,002
300339_1_44;0,00533;0,00015;0,28304;0,00003;0,048;0,002
300339_1_45;0,00199;0,00005;0,28300;0,00008;0,053;0,001
300339_1_46;0,00332;0,00021;0,28312;0,00002;0,050;0,003
300339_1_49;0,00110;0,00005;0,28304;0,00002;0,046;0,001
300339_1_54;0,00736;0,00008;0,28315;0,00004;0,056;0,001
300339_1_56;0,00413;0,00021;0,28305;0,00002;0,048;0,001
300339_1_57;0,00095;0,00001;0,28307;0,00001;0,041;0,002
300339_1_59;0,00667;0,00002;0,28319;0,00003;0,058;0,002
300339_1_60;0,00473;0,00006;0,28312;0,00003;0,058;0,002
300339_1_61;0,00106;0,00004;0,28299;0,00002;0,050;0,002
300339_1_64;0,00327;0,00010;0,28315;0,00004;0,045;0,002
300339_1_65;0,00549;0,00007;0,28321;0,00002;0,058;0,002
300339_1_67;0,00792;0,00018;0,28314;0,00003;0,057;0,002
300339_1_68;0,00216;0,00007;0,28303;0,00002;0,047;0,002
300339_1_69;0,00564;0,00007;0,28308;0,00002;0,056;0,002
300334_01;0,00159;0,00014;0,28308;0,00002;0,043;0,001
300334_02;0,00143;0,00000;0,28309;0,00002;0,046;0,002
300334_03;0,00091;0,00001;0,28313;0,00002;0,043;0,001
300334_04;0,00188;0,00008;0,28310;0,00002;0,042;0,001
300334_06;0,00060;0,00002;0,28310;0,00001;0,045;0,001
300334_07;0,00172;0,00015;0,28303;0,00003;0,044;0,001
300334_08;0,00092;0,00001;0,28306;0,00002;0,043;0,001
300334_09;0,00127;0,00004;0,28308;0,00002;0,049;0,002
300334_10;0,00289;0,00012;0,28276;0,00011;0,044;0,002
300334_11;0,00133;0,00005;0,28317;0,00002;0,042;0,001
300334_12;0,00141;0,00005;0,28324;0,00008;0,045;0,002
300334_13;0,00097;0,00002;0,28308;0,00002;0,041;0,001
300334_15;0,00129;0,00002;0,28309;0,00003;0,043;0,001
300334_16;0,00273;0,00006;0,28310;0,00002;0,040;0,001
300334_17;0,00343;0,00014;0,28314;0,00002;0,045;0,000
300334_18;0,00082;0,00003;0,28313;0,00002;0,040;0,001
300334_19;0,00115;0,00003;0,28301;0,00002;0,041;0,001
