Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
300340_26;300340;26;0,01;0,00;0,05;0,00;0,71;49,79;2,56;45,74;1,71;45,74;1,71;0,08
300340_26b;300340;26b;0,01;0,00;0,06;0,00;0,32;54,69;3,77;46,34;1,06;46,34;1,06;0,15
300340_27;300340;27;0,01;0,00;0,04;0,00;0,87;43,42;1,95;42,95;1,71;42,95;1,71;0,01
300340_27b;300340;27b;0,01;0,00;0,09;0,01;0,25;91,02;20,54;60,35;3,51;60,35;3,51;0,34
300340_28;300340;28;0,01;0,00;0,09;0,00;0,29;90,91;7,75;56,00;1,44;56,00;1,44;0,38
300340_28b;300340;28b;0,01;0,00;0,09;0,01;0,24;85,34;15,07;49,25;2,14;49,25;2,14;0,42
300340_29;300340;29;0,01;0,00;0,04;0,00;0,46;41,34;2,13;40,68;0,98;40,68;0,98;0,02
300340_30;300340;30;0,01;0,00;0,09;0,01;0,51;88,73;15,26;49,67;4,52;49,67;4,52;0,44
300340_31;300340;31;0,01;0,00;0,05;0,00;0,29;50,40;5,91;52,66;1,85;52,66;1,85;-0,04
300340_32;300340;32;0,01;0,00;0,05;0,00;0,93;46,35;2,97;44,12;2,69;44,12;2,69;0,05
300340_33;300340;33;0,01;0,00;0,08;0,01;0,36;75,51;19,19;44,51;4,24;44,51;4,24;0,41
300340_34;300340;34;0,01;0,00;0,06;0,00;0,83;60,28;3,83;57,18;3,11;57,18;3,11;0,05
300340_35;300340;35;0,01;0,00;0,04;0,00;0,38;40,21;2,47;36,91;0,88;36,91;0,88;0,08
300340_36;300340;36;0,01;0,00;0,06;0,00;0,78;57,53;3,59;53,98;2,69;53,98;2,69;0,06
300340_37;300340;37;0,01;0,00;0,04;0,00;0,67;43,84;2,32;43,23;1,57;43,23;1,57;0,01
300340_38;300340;38;0,01;0,00;0,05;0,00;0,54;45,95;3,48;40,69;1,71;40,69;1,71;0,11
300340_39;300340;39;0,01;0,00;0,09;0,01;0,70;83,42;15,52;62,19;8,45;62,19;8,45;0,25
300340_40;300340;40;0,01;0,00;0,07;0,00;0,29;65,64;7,85;39,43;1,38;39,43;1,38;0,40
300340_41;300340;41;0,01;0,00;0,10;0,01;0,41;101,00;14,59;59,76;3,67;59,76;3,67;0,41
300340_42;300340;42;0,01;0,00;0,06;0,00;0,57;57,98;6,33;48,91;3,11;48,91;3,11;0,16
300340_43;300340;43;0,01;0,00;0,04;0,00;0,18;43,77;5,59;41,17;0,97;41,17;0,97;0,06
300340_44;300340;44;0,01;0,00;0,06;0,00;0,24;55,17;8,20;46,05;1,71;46,05;1,71;0,17
300340_45;300340;45;0,01;0,00;0,06;0,00;0,89;60,99;2,94;58,08;2,55;58,08;2,55;0,05
300340_46;300340;46;0,01;0,00;0,10;0,01;0,23;93,63;13,20;58,37;1,99;58,37;1,99;0,38
300340_47;300340;47;0,01;0,00;0,07;0,00;0,28;66,25;7,14;45,48;1,43;45,48;1,43;0,31
300340_48;300340;48;0,01;0,00;0,07;0,00;0,53;65,67;3,99;55,97;1,85;55,97;1,85;0,15
300340_49;300340;49;0,01;0,00;0,05;0,00;0,40;47,71;3,45;41,27;1,20;41,27;1,20;0,14
300340_50;300340;50;0,01;0,00;0,04;0,00;0,34;43,02;5,61;41,12;1,85;41,12;1,85;0,04
300340_51;300340;51;0,01;0,00;0,06;0,00;0,41;58,75;4,80;54,04;1,85;54,04;1,85;0,08
300340_52;300340;52;0,01;0,00;0,15;0,01;0,41;144,45;15,28;51,73;2,41;51,73;2,41;0,64
300340_53;300340;53;0,01;0,00;0,21;0,04;0,28;189,73;60,82;51,12;5,08;51,12;5,08;0,73
300340_54;300340;54;0,01;0,00;0,06;0,00;0,32;61,56;6,65;48,02;1,71;48,02;1,71;0,22
300340_55;300340;55;0,01;0,00;0,06;0,00;0,45;57,22;6,01;44,17;2,13;44,17;2,13;0,23
300340_56;300340;56;0,01;0,00;0,06;0,00;0,55;60,07;2,84;53,70;1,43;53,70;1,43;0,11
300340_57;300340;57;0,01;0,00;0,06;0,00;0,54;62,78;4,50;53,54;2,13;53,54;2,13;0,15
300340_58;300340;58;0,01;0,00;0,09;0,00;0,31;91,37;8,22;55,04;1,57;55,04;1,57;0,40
300340_59;300340;59;0,01;0,00;0,04;0,00;0,42;42,27;3,14;42,64;1,36;42,64;1,36;-0,01
300340_60;300340;60;0,01;0,00;0,05;0,00;0,84;48,74;2,54;44,36;1,99;44,36;1,99;0,09
300340_61;300340;61;0,01;0,00;0,06;0,00;0,46;57,15;4,54;52,89;1,99;52,89;1,99;0,07
300340_62;300340;62;0,01;0,00;0,05;0,00;0,52;52,16;4,18;46,78;1,99;46,78;1,99;0,10
300340_63;300340;63;0,01;0,00;0,06;0,00;0,52;59,11;4,11;53,21;1,99;53,21;1,99;0,10
300340_64;300340;64;0,01;0,00;0,06;0,00;0,92;55,52;2,19;53,49;1,99;53,49;1,99;0,04
300340_65;300340;65;0,01;0,00;0,05;0,00;0,81;45,42;1,78;44,35;1,43;44,35;1,43;0,02
300340_66;300340;66;0,01;0,00;0,06;0,01;0,31;59,85;10,58;45,28;2,55;45,28;2,55;0,24
300340_67;300340;67;0,01;0,00;0,09;0,01;0,16;88,24;11,93;55,79;1,23;55,79;1,23;0,37
300340_68;300340;68;0,01;0,00;0,05;0,00;0,69;51,34;3,47;44,70;2,13;44,70;2,13;0,13
300340_69;300340;69;0,01;0,00;0,05;0,00;0,33;47,48;5,70;38,97;1,57;38,97;1,57;0,18
300340_70;300340;70;0,01;0,00;0,05;0,00;0,55;54,08;4,31;44,15;1,99;44,15;1,99;0,18
300340_71;300340;71;0,01;0,00;0,06;0,00;0,78;56,44;2,60;53,91;1,99;53,91;1,99;0,04
300340_72;300340;72;0,01;0,00;0,08;0,01;0,94;75,01;20,88;62,21;16,88;62,21;16,88;0,17
300340_73;300340;73;0,01;0,00;0,05;0,00;0,37;51,21;4,45;40,59;1,31;40,59;1,31;0,21
300340_74;300340;74;0,01;0,00;0,05;0,00;0,81;45,75;2,00;43,61;1,57;43,61;1,57;0,05
300340_75;300340;75;0,01;0,00;0,05;0,00;0,68;48,70;2,71;44,37;1,71;44,37;1,71;0,09
300340_76;300340;76;0,01;0,00;0,08;0,01;0,22;80,29;17,85;47,62;2,41;47,62;2,41;0,41
300340_77;300340;77;0,01;0,00;0,22;0,03;0,43;200,11;56,80;53,68;7,19;53,68;7,19;0,73
300340_78;300340;78;0,01;0,00;0,06;0,00;0,42;55,01;6,31;43,41;2,13;43,41;2,13;0,21
300340_79;300340;79;0,01;0,00;0,06;0,00;0,35;63,44;8,45;45,03;2,13;45,03;2,13;0,29
300349_01;300349;01;0,01;0,00;0,05;0,00;0,61;48,67;2,61;43,57;1,45;43,57;1,45;0,10
300349_02;300349;02;0,01;0,00;0,05;0,00;0,74;48,67;2,23;42,26;1,47;42,26;1,47;0,13
300349_03;300349;03;0,01;0,00;0,05;0,00;0,56;51,54;2,17;48,95;1,18;48,95;1,18;0,05
300349_04;300349;04;0,01;0,00;0,05;0,00;0,91;46,92;3,58;45,24;3,22;45,24;3,22;0,04
300349_04Rim;300349;04Rim;0,01;0,00;0,04;0,00;0,24;41,59;4,03;34,71;0,81;34,71;0,81;0,17
300349_06;300349;06;0,01;0,00;0,05;0,00;0,56;51,47;2,64;46,64;1,37;46,64;1,37;0,09
300349_07;300349;07;0,01;0,00;0,06;0,00;0,14;59,98;8,72;36,50;0,74;36,50;0,74;0,39
300349_08;300349;08;0,01;0,00;0,05;0,00;0,47;48,50;2,41;41,77;0,99;41,77;0,99;0,14
300349_09;300349;09;0,01;0,00;0,05;0,00;0,64;45,90;3,53;40,88;2,05;40,88;2,05;0,11
300349_10;300349;10;0,01;0,00;0,04;0,00;0,79;39,33;1,53;38,03;1,19;38,03;1,19;0,03
300349_11;300349;11;0,01;0,00;0,04;0,00;0,27;43,04;2,90;38,85;0,73;38,85;0,73;0,10
300349_12;300349;12;0,01;0,00;0,06;0,01;0,17;54,37;13,98;36,83;1,61;36,83;1,61;0,32
300349_13;300349;13;0,01;0,00;0,05;0,00;0,76;48,81;2,40;42,28;1,61;42,28;1,61;0,13
300349_14;300349;14;0,01;0,00;0,05;0,00;0,48;45,63;2,61;40,71;1,13;40,71;1,13;0,11
300349_15;300349;15;0,01;0,00;0,06;0,00;0,54;60,33;5,10;50,12;2,34;50,12;2,34;0,17
300349_16;300349;16;0,01;0,00;0,06;0,00;0,87;57,69;2,35;52,47;1,90;52,47;1,90;0,09
300349_17;300349;17;0,01;0,00;0,06;0,00;0,25;60,86;7,83;44,28;1,47;44,28;1,47;0,27
300349_18;300349;18;0,01;0,00;0,06;0,00;0,65;56,68;3,41;50,97;2,05;50,97;2,05;0,10
300349_19;300349;19;0,01;0,00;0,06;0,01;0,14;56,43;11,89;37,01;1,13;37,01;1,13;0,34
